"Hotel Name","Hotel ID"
"Bloomtalya Hotel","60347833"
"Saint-Petersburg Hotel","1070601"
"Saint-Petersburg Hotel","1070601"
"Dvorak Spa & Wellness","2974863"
"Elite Byblos Hotel","1311226"
"Tilal Riyadh","39865438"
"Makarem Ajyad Makkah Hotel","1800079"
"Paros Agnanti Hotel","2290585"
"Heritance Ahungalla","1588765"
"DoubleTree by Hilton Bakersfield","1147801"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Diwane Hotel","1553602"
"Swissôtel Al Murooj Dubai","90001468"
"Shanashel Palace Hotel","17525749"
"Earl's Regency Hotel","1818819"
"Taleen Granada Hotel Apartments","43026435"
"Embassy Suites by Hilton Orlando International Drive ICON Park","1338737"
"Hilton Miami Downtown","1065723"
"Conrad Manila","6772448"
"Conrad Manila","6772448"
"Makarem Ajyad Makkah Hotel","1800079"
"the Curtis Denver - a DoubleTree by Hilton Hotel","1114323"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Diwane Hotel","1553602"
"Washington Hilton","1103839"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Hilton Garden Inn Toronto Airport West/Mississauga","1989406"
"Grand Mercure Dubai City","38970443"
"Heritance Kandalama","8032937"
"Hampton By Hilton San Jose Airport","1591597"
"Taleen Granada Hotel Apartments","43026435"
"DoubleTree by Hilton Hotel Pittsburgh - Green Tree","1240403"
"Hilton Quebec","1023083"
"Hampton by Hilton Freiburg","46958016"
"Hilton Quebec","1023083"
"Hilton Boston Logan Airport","1520097"
"DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown","3066390"
"Homewood Suites by Hilton Orlando-International Drive/Convention Center","1226339"
"Hilton Garden Inn Washington DC/U.S. Capitol","1141607"
"DoubleTree Resort by Hilton Hollywood Beach","1631922"
"BLUESEA Costa Jardin Spa","1977986"
"Grand Mercure Dubai City","38970443"
"Hilton Paris Charles de Gaulle Airport","1124320"
"Hampton Inn Atlanta-Buckhead","1072644"
"DoubleTree by Hilton Phoenix Mesa","1081874"
"Hilton Checkers Los Angeles","1785166"
"Hilton Alexandria Mark Center","1838053"
"Admiral Plaza Hotel Dubai","1275928"
"Grand Mercure Dubai City","38970443"
"TRYP by Wyndham Dubai","24507074"
"The Bethesdan Hotel, Tapestry Collection by Hilton","1095713"
"Kingsgate Hotel Abu Dhabi","2314502"
"Copthorne Downtown Abu Dhabi","1664908"
"Copthorne Downtown Abu Dhabi","1664908"
"Marino Beach Colombo","2407685"
"Casa Marina Key West, Curio Collection by Hilton","1549107"
"Hilton Paris Charles de Gaulle Airport","1124320"
"Hampton Inn & Suites Mexico City - Centro Historico","2201509"
"Hilton Boston/Woburn","1137871"
"Holiday International Hotel","3158678"
"Four Seasons Hotel Apartments","68966362"
"Hampton Inn Atlanta-Buckhead","1072644"
"Hilton Boston Logan Airport","1520097"
"Grand Mercure Dubai City","38970443"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"DoubleTree by Hilton Chicago O’Hare Airport – Rosemont","1155673"
"Grand Mercure Dubai City","38970443"
"Grand Mercure Dubai City","38970443"
"The Hotel Galleria Jeddah, Curio Collection by Hilton","82202484"
"Elaf Bakkah Hotel","2618050"
"Velvet Hotel","99495914"
