"Booking Status","Hotel Country Name","Room Nights","Guests"
"Confirmed","Turkey","1","2"
"Rejected","Russia","6","2"
"Cancelled","Russia","6","2"
"Rejected","Czech Republic","4","4"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Saudi Arabia","1","2"
"Rejected","Saudi Arabia","2","4"
"Cancelled","Greece","3","3"
"Confirmed","Sri Lanka","2","2"
"Confirmed","United States","2","2"
"Confirmed","United States","4","1"
"Confirmed","Morocco","4","3"
"Cancelled","United Arab Emirates","5","1"
"Confirmed","Iraq","4","2"
"Cancelled","Sri Lanka","2","3"
"Confirmed","Saudi Arabia","15","2"
"Cancelled","United States","3","2"
"Cancelled","United States","1","2"
"Cancelled","Philippines","36","18"
"Cancelled","Philippines","36","18"
"Confirmed","Saudi Arabia","2","6"
"Cancelled","United States","1","2"
"Confirmed","United States","1","1"
"Cancelled","Morocco","7","2"
"Cancelled","United States","3","2"
"Confirmed","United States","1","2"
"Confirmed","Canada","1","2"
"Confirmed","United Arab Emirates","1","1"
"Cancelled","Sri Lanka","1","2"
"Cancelled","Costa Rica","1","2"
"Confirmed","Saudi Arabia","20","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","4","2"
"Cancelled","Germany","14","14"
"Confirmed","Canada","2","1"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Rejected","United States","3","2"
"Confirmed","United States","2","1"
"Confirmed","United States","1","2"
"Rejected","Spain","8","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","France","1","2"
"Confirmed","United States","1","2"
"Cancelled","United States","1","2"
"Cancelled","United States","2","2"
"Confirmed","United States","1","2"
"Cancelled","United Arab Emirates","1","1"
"Cancelled","United Arab Emirates","8","1"
"Rejected","United Arab Emirates","6","3"
"Cancelled","United States","3","2"
"Cancelled","United Arab Emirates","2","2"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","United Arab Emirates","1","2"
"Rejected","Sri Lanka","4","2"
"Rejected","United States","3","2"
"Rejected","France","2","4"
"Rejected","Mexico","1","2"
"Confirmed","United States","3","4"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","Saudi Arabia","5","1"
"Confirmed","United States","1","1"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","1","3"
"Confirmed","United States","2","1"
"Confirmed","United States","1","2"
"Cancelled","United Arab Emirates","1","3"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Saudi Arabia","4","1"
"Confirmed","Saudi Arabia","6","4"
"Confirmed","Saudi Arabia","2","2"
"Rejected","Saudi Arabia","2","2"
"Rejected","Malaysia","2","2"
"Confirmed","United States","1","2"
"Cancelled","United States","4","2"
"Cancelled","United States","1","2"
"Cancelled","Spain","25","20"
"Confirmed","Panama","24","16"
"Rejected","Qatar","4","5"
"Confirmed","United Arab Emirates","1","4"
"Confirmed","Mexico","1","2"
"Confirmed","Qatar","2","1"
"Cancelled","United States","4","2"
"Confirmed","United States","2","4"
"Cancelled","United States","1","2"
"Confirmed","United Arab Emirates","3","2"
"Rejected","United States","1","2"
"Rejected","United Arab Emirates","2","1"
"Rejected","United Arab Emirates","2","2"
"Rejected","Saudi Arabia","2","1"
"Rejected","United States","1","1"
"Rejected","Sri Lanka","2","4"
"Confirmed","Thailand","5","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","United States","2","2"
"Confirmed","Saudi Arabia","3","1"
"Confirmed","United Arab Emirates","3","2"
"Cancelled","United States","1","2"
"Confirmed","United Arab Emirates","4","3"
"Rejected","Egypt","9","1"
"Cancelled","United Arab Emirates","2","3"
"Confirmed","Saudi Arabia","2","4"
"Cancelled","United States","1","1"
"Confirmed","Canada","4","2"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","Saudi Arabia","3","1"
"Confirmed","United Arab Emirates","27","7"
"Confirmed","United States","3","2"
"Confirmed","United States","1","2"
"Confirmed","United States","2","2"
"Confirmed","Panama","4","2"
"Rejected","Saudi Arabia","2","1"
"Cancelled","United Arab Emirates","4","6"
"Confirmed","Egypt","6","2"
"Confirmed","United States","1","2"
"Confirmed","Qatar","2","2"
"Confirmed","United Arab Emirates","10","5"
"Cancelled","United Arab Emirates","1","4"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","Colombia","3","2"
"Confirmed","United States","1","1"
"Confirmed","Qatar","1","3"
"Confirmed","Saudi Arabia","2","1"
"Rejected","Saudi Arabia","2","1"
"Cancelled","United States","2","3"
"Confirmed","United Arab Emirates","4","2"
"Cancelled","United Arab Emirates","7","3"
"Confirmed","United Arab Emirates","10","3"
"Cancelled","Sri Lanka","1","2"
"Confirmed","Qatar","5","2"
"Cancelled","Colombia","5","2"
"Cancelled","Saudi Arabia","2","1"
"Confirmed","United Arab Emirates","7","2"
"Confirmed","Saudi Arabia","8","2"
"Confirmed","United States","1","2"
"Confirmed","Morocco","4","2"
"Confirmed","United States","1","2"
"Cancelled","Qatar","6","1"
"Confirmed","Jordan","2","2"
"Confirmed","Colombia","5","5"
"Confirmed","Colombia","6","12"
"Confirmed","Algeria","4","4"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","United States","3","2"
"Confirmed","Saudi Arabia","2","1"
"Confirmed","United Arab Emirates","3","4"
"Confirmed","United States","2","2"
"Rejected","Saudi Arabia","6","1"
"Confirmed","United States","1","1"
"Confirmed","United States","6","2"
"Confirmed","Morocco","2","4"
"Confirmed","Algeria","4","4"
"Cancelled","United States","2","2"
"Confirmed","Saudi Arabia","4","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","7","1"
"Cancelled","United Arab Emirates","2","2"
"Rejected","Maldives","9","6"
"Confirmed","Saudi Arabia","2","2"
"Rejected","Saudi Arabia","2","2"
"Cancelled","United States","3","2"
"Confirmed","United States","2","1"
"Cancelled","United States","1","2"
"Confirmed","United States","2","4"
"Confirmed","United States","4","4"
"Confirmed","United Arab Emirates","1","4"
"Confirmed","United States","1","1"
"Cancelled","United States","5","2"
"Confirmed","United States","3","2"
"Confirmed","Egypt","2","1"
"Cancelled","Saudi Arabia","2","6"
"Cancelled","United Arab Emirates","1","3"
"Cancelled","Canada","4","2"
"Cancelled","Sri Lanka","1","1"
"Cancelled","Sri Lanka","2","4"
"Confirmed","Sri Lanka","1","2"
"Cancelled","United States","1","1"
"Confirmed","Morocco","4","2"
"Cancelled","Saudi Arabia","1","4"
"Cancelled","United States","1","2"
"Confirmed","Saudi Arabia","3","2"
"Confirmed","United Arab Emirates","4","1"
"Cancelled","Colombia","7","2"
"Confirmed","United States","2","1"
"Rejected","Spain","14","2"
"Cancelled","United States","5","2"
"Confirmed","United States","1","1"
"Cancelled","Saudi Arabia","2","1"
"Cancelled","United Arab Emirates","24","2"
"Confirmed","Saudi Arabia","4","2"
"Cancelled","United States","2","4"
"Cancelled","United States","2","4"
"Confirmed","United States","1","2"
"Confirmed","Costa Rica","1","2"
"Cancelled","Canada","1","2"
"Cancelled","United Arab Emirates","7","2"
"Cancelled","Saudi Arabia","9","2"
"Cancelled","Costa Rica","1","2"
"Confirmed","Costa Rica","1","2"
"Confirmed","United Arab Emirates","4","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","2","4"
"Confirmed","United States","1","2"
"Cancelled","United Arab Emirates","5","2"
"Confirmed","United States","1","2"
"Cancelled","United States","1","2"
"Cancelled","United States","4","1"
"Confirmed","United States","1","1"
"Confirmed","United States","5","2"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Confirmed","Qatar","7","5"
"Confirmed","Saudi Arabia","2","2"
"Rejected","Saudi Arabia","2","2"
"Rejected","United States","3","1"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","Canada","1","2"
"Confirmed","Saudi Arabia","5","2"
"Cancelled","Spain","12","6"
"Cancelled","United Arab Emirates","4","1"
"Confirmed","Sri Lanka","1","2"
"Cancelled","Saudi Arabia","6","9"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Cancelled","Morocco","2","2"
"Confirmed","United States","1","2"
"Confirmed","Egypt","3","1"
"Confirmed","Saudi Arabia","5","1"
"Confirmed","United Arab Emirates","2","1"
"Confirmed","United States","1","1"
"Confirmed","Malaysia","3","2"
"Cancelled","Saudi Arabia","1","2"
"Cancelled","United States","7","1"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Confirmed","Indonesia","6","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","1","3"
"Confirmed","Egypt","3","3"
"Confirmed","Qatar","1","2"
"Cancelled","United Arab Emirates","30","2"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Cancelled","United States","3","1"
"Confirmed","Morocco","6","2"
"Rejected","United States","1","1"
"Confirmed","United States","1","2"
"Cancelled","United States","3","1"
"Confirmed","United States","1","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","5","1"
"Cancelled","Germany","30","2"
"Confirmed","Jordan","1","2"
"Confirmed","Saudi Arabia","4","1"
"Confirmed","Spain","2","3"
"Cancelled","United States","1","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","2","2"
"Cancelled","United States","1","2"
"Confirmed","Saudi Arabia","6","4"
"Cancelled","United States","2","2"
"Confirmed","United States","1","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","1","1"
"Cancelled","United States","7","2"
"Cancelled","United States","2","2"
"Cancelled","Thailand","8","2"
"Cancelled","Canada","1","2"
"Cancelled","United Arab Emirates","1","4"
"Confirmed","United States","1","2"
"Rejected","United States","1","2"
"Confirmed","United Arab Emirates","6","4"
"Cancelled","Saudi Arabia","2","4"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","Saudi Arabia","4","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United States","1","2"
"Cancelled","Canada","3","2"
"Cancelled","United States","1","2"
"Cancelled","United States","3","2"
"Confirmed","Saudi Arabia","4","2"
"Cancelled","Italy","6","4"
"Cancelled","United States","4","2"
"Cancelled","United States","2","2"
"Cancelled","France","1","2"
"Cancelled","Thailand","2","2"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","United States","2","2"
"Cancelled","United States","1","2"
"Confirmed","Saudi Arabia","2","4"
"Cancelled","Italy","6","4"
"Cancelled","Saudi Arabia","6","2"
"Confirmed","United Arab Emirates","4","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","4","2"
"Cancelled","United States","1","2"
"Cancelled","United States","1","1"
"Cancelled","United Arab Emirates","7","2"
"Cancelled","United States","3","2"
"Confirmed","Saudi Arabia","3","4"
"Cancelled","Saudi Arabia","3","1"
"Cancelled","United States","1","1"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","Saudi Arabia","1","2"
"Confirmed","Egypt","6","1"
"Confirmed","Jordan","8","2"
"Confirmed","United States","1","2"
"Confirmed","Sri Lanka","10","10"
"Confirmed","United States","1","2"
"Confirmed","Saudi Arabia","1","2"
"Confirmed","Saudi Arabia","3","2"
"Cancelled","United States","3","1"
"Confirmed","United States","3","2"
"Cancelled","Egypt","28","4"
"Confirmed","Canada","1","2"
"Cancelled","United Arab Emirates","2","6"
"Cancelled","United States","1","2"
"Confirmed","Canada","1","2"
"Confirmed","United States","1","2"
"Confirmed","United States","3","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","1","2"
"Cancelled","Canada","1","2"
"Confirmed","Qatar","5","2"
"Confirmed","United States","1","2"
"Confirmed","Canada","2","2"
"Cancelled","United States","4","1"
"Cancelled","Saudi Arabia","3","4"
"Cancelled","United States","1","2"
"Cancelled","United Arab Emirates","1","2"
"Cancelled","Canada","1","2"
"Confirmed","United Arab Emirates","2","1"
"Confirmed","United States","3","2"
"Rejected","United States","6","6"
"Confirmed","United States","2","2"
"Confirmed","United States","1","2"
"Confirmed","Sri Lanka","1","2"
"Cancelled","United Arab Emirates","3","2"
"Cancelled","United Arab Emirates","3","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","Sri Lanka","7","1"
"Confirmed","United States","6","1"
"Confirmed","Saudi Arabia","1","2"
"Confirmed","United States","2","2"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","Saudi Arabia","5","4"
"Confirmed","United States","2","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","United Arab Emirates","3","1"
"Cancelled","United Arab Emirates","3","1"
"Confirmed","United Arab Emirates","3","6"
"Confirmed","United Arab Emirates","2","1"
"Confirmed","Thailand","3","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United Arab Emirates","3","2"
"Cancelled","Thailand","3","2"
"Confirmed","Saudi Arabia","2","1"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United Arab Emirates","5","1"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","United Arab Emirates","3","2"
"Cancelled","Thailand","8","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","Romania","3","3"
"Confirmed","Saudi Arabia","3","1"
"Cancelled","United Arab Emirates","3","2"
"Cancelled","United Arab Emirates","3","2"
"Confirmed","United Arab Emirates","8","1"
"Confirmed","Saudi Arabia","2","2"
"Confirmed","Saudi Arabia","15","5"
"Confirmed","Saudi Arabia","1","1"
"Cancelled","United Arab Emirates","3","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","Saudi Arabia","2","1"
"Rejected","United States","4","4"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","United States","3","4"
"Confirmed","United States","1","2"
"Rejected","Portugal","4","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","1","1"
"Cancelled","Thailand","22","4"
"Confirmed","Saudi Arabia","3","1"
"Cancelled","United States","1","2"
"Rejected","Saudi Arabia","1","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","5","2"
"Cancelled","United States","2","2"
"Cancelled","Saudi Arabia","3","4"
"Cancelled","Qatar","1","1"
"Cancelled","Maldives","8","3"
"Cancelled","Thailand","3","2"
"Cancelled","United Arab Emirates","4","2"
"Cancelled","Morocco","3","5"
"Cancelled","Canada","1","2"
"Cancelled","Canada","2","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","United States","2","5"
"Confirmed","United Arab Emirates","4","4"
"Cancelled","United Arab Emirates","6","5"
"Confirmed","Morocco","3","2"
"Confirmed","United Arab Emirates","2","1"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","United Arab Emirates","2","3"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Cancelled","Canada","3","1"
"Cancelled","Canada","3","2"
"Rejected","Mexico","4","1"
"Cancelled","United States","2","2"
"Cancelled","Canada","1","2"
"Cancelled","Canada","3","2"
"Cancelled","United Arab Emirates","8","1"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","1","2"
"Rejected","Canada","2","1"
"Cancelled","Saudi Arabia","3","1"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","United States","2","1"
"Rejected","Canada","1","1"
"Confirmed","France","1","1"
"Confirmed","Canada","2","4"
"Confirmed","Canada","1","2"
"Confirmed","United States","4","2"
"Confirmed","United States","4","3"
"Cancelled","United States","1","2"
"Rejected","United Arab Emirates","7","2"
"Confirmed","United Arab Emirates","3","2"
"Cancelled","Canada","2","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United States","2","6"
"Cancelled","Morocco","2","2"
"Confirmed","Canada","1","2"
"Cancelled","Thailand","3","2"
"Confirmed","Canada","2","2"
"Cancelled","Canada","2","4"
"Confirmed","United States","1","2"
"Cancelled","United States","2","2"
"Confirmed","United States","2","2"
"Cancelled","United Arab Emirates","3","1"
"Confirmed","Saudi Arabia","3","1"
"Cancelled","United Arab Emirates","2","1"
"Confirmed","Italy","1","1"
"Cancelled","Saudi Arabia","3","3"
"Cancelled","Canada","1","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Panama","3","2"
"Rejected","Greece","6","4"
"Confirmed","Saudi Arabia","6","2"
"Confirmed","Saudi Arabia","1","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Morocco","4","2"
"Confirmed","Morocco","4","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","3","1"
"Confirmed","United Arab Emirates","5","2"
"Confirmed","United Arab Emirates","1","3"
"Confirmed","United Arab Emirates","4","2"
"Rejected","United States","1","2"
"Confirmed","Canada","1","2"
"Confirmed","Bahrain","3","3"
"Confirmed","United Arab Emirates","5","2"
"Confirmed","Qatar","1","2"
"Confirmed","Saudi Arabia","5","1"
"Rejected","Spain","21","3"
"Confirmed","Saudi Arabia","4","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","United States","4","2"
"Cancelled","Saudi Arabia","1","1"
"Confirmed","Qatar","7","5"
"Cancelled","Saudi Arabia","6","2"
"Confirmed","Sri Lanka","7","1"
"Confirmed","United Arab Emirates","2","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Oman","1","2"
"Confirmed","Qatar","5","5"
"Confirmed","Saudi Arabia","4","4"
"Confirmed","Saudi Arabia","2","2"
"Confirmed","Saudi Arabia","3","1"
"Confirmed","Saudi Arabia","1","1"
"Cancelled","Thailand","4","2"
"Confirmed","Saudi Arabia","2","6"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","2","1"
"Cancelled","Saudi Arabia","3","1"
"Cancelled","Saudi Arabia","3","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","6","1"
"Confirmed","United Arab Emirates","5","2"
"Confirmed","Jordan","1","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Spain","2","2"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","Saudi Arabia","2","1"
"Cancelled","Thailand","14","1"
"Confirmed","Saudi Arabia","6","1"
"Confirmed","Saudi Arabia","6","1"
"Confirmed","United Arab Emirates","10","1"
"Confirmed","United Arab Emirates","4","1"
"Confirmed","United Arab Emirates","4","1"
"Confirmed","Thailand","10","6"
"Confirmed","United Arab Emirates","4","1"
"Cancelled","Thailand","8","6"
"Cancelled","United Arab Emirates","4","2"
"Cancelled","Kenya","7","1"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","United Arab Emirates","1","2"
"Confirmed","United Arab Emirates","3","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","United Arab Emirates","2","3"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","Maldives","14","2"
"Cancelled","Maldives","14","2"
"Cancelled","United Arab Emirates","4","2"
"Cancelled","Turkey","1","1"
"Rejected","Panama","3","2"
"Cancelled","Malaysia","5","2"
"Confirmed","Philippines","1","1"
"Confirmed","Iceland","7","2"
"Confirmed","Saudi Arabia","2","2"
"Cancelled","United Arab Emirates","3","1"
"Cancelled","Morocco","4","2"
"Cancelled","Morocco","4","2"
"Confirmed","Saudi Arabia","9","3"
"Rejected","Italy","3","3"
"Cancelled","Italy","3","2"
"Cancelled","Sri Lanka","8","2"
"Confirmed","United Arab Emirates","5","3"
"Cancelled","Saudi Arabia","12","4"
"Cancelled","Greece","15","10"
"Confirmed","United Arab Emirates","7","3"
"Confirmed","Saudi Arabia","2","3"
"Confirmed","United Arab Emirates","5","2"
"Confirmed","Algeria","2","1"
"Confirmed","Qatar","2","2"
"Confirmed","Sri Lanka","4","3"
"Cancelled","Saudi Arabia","3","1"
"Confirmed","Egypt","3","2"
"Confirmed","Egypt","8","2"
"Confirmed","United Arab Emirates","4","1"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","Egypt","8","2"
"Cancelled","United Arab Emirates","5","2"
"Cancelled","United Arab Emirates","5","2"
"Confirmed","Malaysia","8","1"
"Confirmed","Malaysia","3","2"
"Cancelled","Qatar","5","2"
"Rejected","France","6","2"
"Cancelled","United States","11","2"
"Confirmed","United States","2","2"
"Confirmed","United Arab Emirates","2","2"
"Confirmed","Jordan","3","1"
"Confirmed","Jordan","3","2"
"Cancelled","Malaysia","3","4"
"Rejected","Serbia","3","3"
"Confirmed","Egypt","16","4"
"Cancelled","Greece","4","2"
"Rejected","France","7","4"
"Cancelled","United Arab Emirates","4","3"
"Cancelled","United Arab Emirates","5","2"
"Cancelled","United Arab Emirates","5","2"
"Cancelled","United Arab Emirates","5","2"
"Cancelled","Malaysia","1","2"
"Confirmed","United Arab Emirates","2","1"
"Cancelled","Saudi Arabia","12","2"
"Confirmed","Bahrain","2","1"
"Cancelled","United Arab Emirates","1","3"
"Cancelled","Sri Lanka","3","1"
"Confirmed","Saudi Arabia","8","2"
"Cancelled","Malaysia","8","1"
"Cancelled","United Arab Emirates","7","2"
"Cancelled","Sri Lanka","1","2"
"Confirmed","Malaysia","2","2"
"Cancelled","Malaysia","3","2"
"Cancelled","Malaysia","8","1"
"Cancelled","Malaysia","1","2"
"Confirmed","Malaysia","1","2"
"Confirmed","Jordan","2","2"
"Cancelled","Indonesia","4","2"
"Confirmed","Sri Lanka","5","1"
"Cancelled","Malaysia","2","2"
"Confirmed","Malaysia","2","2"
"Cancelled","Egypt","6","1"
"Confirmed","Malaysia","2","2"
"Cancelled","Egypt","9","1"
"Confirmed","Jordan","1","1"
"Confirmed","United Arab Emirates","6","1"
"Confirmed","Greece","1","1"
"Confirmed","Jordan","1","1"
"Cancelled","Saudi Arabia","2","1"
"Confirmed","Thailand","24","12"
"Confirmed","Saudi Arabia","6","1"
"Cancelled","Malaysia","8","1"
"Confirmed","Bahrain","1","2"
"Cancelled","United Arab Emirates","4","1"
"Cancelled","United Arab Emirates","4","1"
"Cancelled","United Arab Emirates","4","1"
"Cancelled","United Arab Emirates","4","1"
"Cancelled","United Arab Emirates","4","1"
"Cancelled","United Arab Emirates","4","5"
"Cancelled","United Arab Emirates","1","2"
"Cancelled","Italy","2","1"
"Confirmed","United Arab Emirates","10","4"
"Cancelled","United Arab Emirates","3","2"
"Cancelled","United Arab Emirates","3","2"
"Cancelled","United Arab Emirates","3","2"
"Cancelled","Italy","2","1"
"Confirmed","United States","2","2"
"Confirmed","Saudi Arabia","10","1"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United Arab Emirates","4","2"
"Confirmed","United States","3","2"
"Confirmed","United States","1","2"
"Confirmed","United States","1","2"
"Cancelled","United Arab Emirates","1","3"
"Confirmed","Jordan","1","2"
"Confirmed","United Arab Emirates","1","2"
"Confirmed","Sri Lanka","3","1"
"Confirmed","Canada","1","2"
"Confirmed","Qatar","5","2"
"Confirmed","United States","2","2"
"Confirmed","United States","3","2"
"Confirmed","Canada","1","2"
"Confirmed","Canada","1","2"
"Confirmed","Canada","1","2"
"Confirmed","Canada","1","2"
"Confirmed","Morocco","2","2"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","3","2"
"Rejected","France","9","18"
"Confirmed","Canada","1","2"
"Cancelled","United Arab Emirates","3","3"
"Cancelled","United States","1","2"
"Rejected","Germany","1","2"
"Confirmed","Canada","3","2"
"Confirmed","Canada","3","2"
"Confirmed","United States","2","2"
"Confirmed","United States","2","2"
"Confirmed","United States","1","2"
"Cancelled","United States","1","2"
"Cancelled","Canada","4","2"
"Confirmed","Canada","3","2"
"Cancelled","United States","1","2"
"Confirmed","United States","2","1"
"Cancelled","United Arab Emirates","3","1"
"Cancelled","United States","5","2"
"Rejected","United States","14","2"
"Confirmed","Qatar","6","4"
"Confirmed","United Arab Emirates","1","2"
"Cancelled","United States","2","2"
"Cancelled","Canada","1","2"
"Confirmed","United States","3","2"
"Cancelled","United States","1","2"
"Cancelled","Belize","2","4"
"Confirmed","United States","4","1"
"Cancelled","United States","3","1"
"Cancelled","Canada","2","2"
"Cancelled","Canada","2","4"
"Confirmed","Canada","2","4"
"Cancelled","Canada","2","4"
"Confirmed","United States","1","2"
"Confirmed","United States","1","3"
"Cancelled","United States","2","2"
"Cancelled","United States","1","2"
"Cancelled","United States","1","2"
"Confirmed","United States","2","2"
"Cancelled","Canada","2","1"
"Cancelled","Tanzania","6","5"
"Confirmed","United States","1","2"
"Confirmed","United Arab Emirates","1","1"
"Confirmed","Saudi Arabia","1","1"
"Confirmed","United States","2","1"
"Confirmed","United States","2","2"
"Confirmed","United States","2","2"
"Cancelled","United States","4","1"
"Cancelled","Sri Lanka","2","2"
"Cancelled","United States","1","2"
"Cancelled","United States","3","2"
"Cancelled","United States","1","2"
"Cancelled","United States","1","2"
"Cancelled","Italy","1","2"
"Cancelled","Greece","1","2"
"Confirmed","Morocco","4","2"
"Rejected","Spain","2","2"
"Confirmed","United Arab Emirates","3","2"
"Confirmed","United Arab Emirates","14","6"
"Confirmed","Qatar","9","7"
"Confirmed","United Arab Emirates","2","2"
